,İsim,IMDb Puanı,Yıl,Ülke,Film Süresi,Türler,Yönetmen,Senarist,Oyuncular,Ödüller,Konu
357,Trilogy: The Weeping Meadow - Ağlayan Çayır(Trilogia: To livadi pou dakryzei) ,7.9,2004,"Almanya, Fransa, Greece, Italy",170 dakika,"Dram, Romantik, Tarih",Theodoros Angelopoulos,"heodoros Angelopoulos, Tonino Guerra, Petros Markaris","Alexandra Aidini, Giorgos Armenis, Nikos Poursanidis",2 ödül & 6 Adaylık.,"Bu, Theo Angelopoulos'un üçlemesinin ilk filmi. Hikaye 1919'da Odessa'dan Selanik yakınlarında bir yere gelen Yunan mültecilerle başlar. Bu insanlar arasında iki küçük çocuk, Alexis ve Eleni var. Eleni bir yetimdir ve aynı zamanda Alexis'in ailesi tarafından bakılmaktadır. Mülteciler nehir kenarında bir yerde küçük bir köy inşa ediyor ve çocukların büyüyüp aşık olmalarını izliyoruz. Ama zor diktatörlük ve savaş zamanları geldiğinde kaçmak zorunda kalacaklar..."
358,The Song of Sparrows - Serçelerin Şarkısı(Avaze gonjeshk-ha) ,7.9,2008,İran,96 dakika,Dram,Majid Majidi,"ehran Kashani, Majid Majidi","Hamid Aghazi, Kamran Dehghan, Maryam Akbari, Mohammad Amir Naji",7 ödül & 2 Adaylık.,"Avaze gonjeshk-ha İran kırsalında yaşayan bir ailenin sevinç, hüzün ve umut dolu yaşamlarını ele alıyor. Devekuşu çiftliğinde çalışan baba Karim bir devekuşunun çiftlikten kaçması sonucu işten çıkarılır. Kritik bir sınava girecek olan büyük kızının kırılan işitme cihazını yeniletmek için motorbisikletiyle Tahran sokaklarında yük ve insan taşımaya yapmaya başlar. Bu sırada küçük oğlu köyün su kuyusunda balık üretip milyoner olma hayalini gerçekleştirmek için çabalıyor... The Song of Sparrows – Serçelerin Şarkısı filmini kült filmlerden 720p görüntü kalitesiyle türkçe altyazılı olarak izleyebilirsiniz."
359,Boyhood - Çocukluk,7.9,2014,Amerika,165 dakika,Dram,Richard Linklater,ichard Linklater,"Elijah Smith, Ellar Coltrane, Lorelei Linklater, Patricia Arquette",1 Oscar Kazandı. Diğer 172 ödül & 218 adaylık.,"Boyhood, yönetmenin on iki yılını yapmak için harcadığı bir ergenlik dönemi dramasıdır. Film, Mason adlı çocuğun 6 yaşından 18 yaşına kadarki süre zarfındaki yaşamına odaklanıyor. Çocuk yaşta ebeveynleri boşanan Mason artık anne babasının bir arada yaşayamadığı gerçeğine alışmakta zorluk çekiyor. Bunu ilerleyen zamanlarda kötü üvey ebeveynlere sahip olması, ilk aşık olma deneyimi, kendini keşfetmesi ve tipik travmalar takip ediyor. Kült filmlerden 1080p görüntü kalitesiyle Boyhood altyazılı izle yebilirsiniz."
360,In Bruges - Brüj’da,7.9,2008,"Amerika, İngiltere",107 dakika,"Dram, Komedi, Suç",Martin McDonagh,artin McDonagh,"Elizabeth Berrington, Mark Donovan, Olivier Bonjour, Rudy Blomme",1 Oscar Adaylığı. Diğer 24 ödül & 54 adaylık.,"İrlandalı kiralık katiller Ken ve Ray, Londralı gangster Harry Waters tarafından, bir Londra kilisesinde yaşanan olayın ardından Belçika'nın ortaçağ kenti olan Bruges'e görev için gönderilirler. Vardıklarında Ken tarihi şehrin tadını çıkarırken Ray sıkılır ve evini özler. Canı sıkılan Ray, Bruges'de çekilen bir filmin oyuncularına uyuşturucu satan Kanadalı bir turistle ve daha sonra küçük uyuşturucu satıcısı ve aynı zamanda dolandırıcı olan Chloë ile tanışır. Peki bu ikili Harry'nin verdiği görevi tamamlayabilecekler mi? Kült filmlerden 1080p görüntü kalitesiyle In Bruges altyazılı izle yebilirsiniz."
361,Before Midnight - Geceyarısından Önce,7.9,2013,"Greece, United States",109 dakika,"Dram, Romantik",Richard Linklater,"ichard Linklater, Julie Delpy, Ethan Hawke","Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpatrick",1 Oscar Adaylığı. 20 ödül & 63 adaylık. total,"Başrollerini Ethan Hawke ve Julie Delpy'nin paylaştığı ""Before Midnight"", Richard Linklater'ın şu ana kadar ""Before Sunrise"" ve ""Before Sunset""inden sonra serisinin üçüncü filmidir. Gece Yarısından Önce""de, 9 yıl sonra Celine ve Jesse ile tanışıyoruz. Viyana'ya giden bir trende ilk karşılaşmamızın üzerinden neredeyse yirmi yıl geçti ve şimdi onları 40'lı yaşlarının başında Yunanistan'da buluyoruz. Saat gece yarısına varmadan önce, tekrar hikayelerinin bir parçası oluyoruz. Kült Filmlerden 1080p görüntü kalitesiyle Before Midnight izle yebilirsiniz."
362,Onibaba - Şeytan Kadın,7.9,1964,Japan,103 dakika,"Dram, Gerilim, Korku",Kaneto Shindô,aneto Shindô,"Jitsuko Yoshimura, Kei Satô, Nobuko Otowa",2 ödül,"14. yüzyıl Japonya'sında feodal bir savaş şiddetlenirken, geride kalanlar hayatta kalma mücadelesi veriyor. Bir askerin karısı ve annesi, yollarına çıkan bahtsız samurayları avlayarak, onları öldürerek ve yiyecek için zırhlarını satarak kıt yaşamlarını sürdürürler. Biri komşusuyla ilişki yaşarken, diğer kadın tuhaf bir maske takan gizemli bir samuray ile tanışır. Kült Filmlerden 1080p görüntü kalitesiyle Onibaba izle yebilirsiniz."
363,Black Rain - Kara Yağmur(Kuroi ame) ,7.9,1989,Japan,123 dakika,Dram,Shôhei Imamura,"asuji Ibuse, Shôhei Imamura, Toshirô Ishidô","Etsuko Ichihara, Kazuo Kitamura, Yoshiko Tanaka",26 ödül & 5 Adaylık.,"Bay ve Bayan Shizuma ve yeğenleri Yasuko, atom bombası düştükten hemen sonra Hiroşima'nın harabelerinde ilerliyorlar. Beş yıl sonra, Yasuko halası, amcası ve bunak büyükannesi ile bombadan kurtulanların çoğunun bulunduğu bir köye yerleşiyor. Yasuko bombadan etkilenmiş gibi görünmüyor, ancak Shizuma'lar her an radyasyon hastalığına yenik düşebileceği için evlilik umutları konusunda endişeli..."
364,The Stoning of Soraya - M. Soraya’yı Taşlamak,7.9,2008,United States,114 dakika,Dram,Cyrus Nowrasteh,"etsy Giffen Nowrasteh, Cyrus Nowrasteh, Freidoune Sahebjam","Jim Caviezel, Mozhan Marnò, Shohreh Aghdashloo",8 ödül & 8 Adaylık.,"Soraya, kadınlara kötü muamele gösteren bir toplumda yaşamaktadır. Kocası Ali tarafından fiziksel ve psikolojik şiddet görmektedir. Küçük bir çocukla ilişki yaşayan Ali, Soraya’yı boşamak ister. Köyde yumuşak karakteriyle bilinen ve diğer adamlara nazaran daha anlayışlı olan Haşim’in engelli bir oğlu vardır. Sıraya bu çocuğa bakmayı kendine evden bir uzaklaşma ve kurtuluş olarak görür. Fakat filmin ilerleyen sahnelerinde Soraya'ya atılacak olan iftiralar için yalancı şahit Haşim olacaktır. Atılan iftiralar ve kurulan tuzaklar Soraya'nın taşlanarak öldürülmesine sebep olacak bir seviyeye gelir. Ve malesef ki ona atılan ilk taş babasının elinden çıkacaktır. Filmde gazeteci rolünü üstlenen Zehra ise bize kadınların ne kadar ötekileştirildiğini anlatan bu acı hikayeyi aktarır."
365,I Remember - Amarcord(Hatırlıyorum) ,7.9,1973,"Fransa, Italy",123 dakika,"Dram, Komedi",Federico Fellini,"ederico Fellini, Tonino Guerra","Bruno Zanin, Magali Noël, Pupella Maggio",1 Oscar Kazandı. 20 ödül & 9 adaylık. total,"Cinsel açıdan hüsrana uğramış genç ergen Titta, bir İtalyan sahil kasabasında baharın gelişini endişeyle bekliyor. Tek bir yıl boyunca, iri gözlü çocukluk merakı, heyecan verici duygusal deneyimler, boş saplantılar ve ateşli ama uykuda olan ergenlik arzuları din, siyaset, seks ve aşkla bir arada var olur. Titta'nın gürültülü ailesinin etrafında yavaş yavaş dönerek, 1930'ların sürekli değişen bir kaleydoskopu, Titta'yı yaşamı değiştiren anların ve seyreltilmemiş genç fantezilerin tüm bir evrenine çekiyor."
366,Kwaidan(Hayalet Öyküleri) ,7.9,1964,Japan,183 dakika,"Dram, Fantastik, Korku",Masaki Kobayashi,"ôko Mizuki, Lafcadio Hearn","Michiyo Aratama, Misako Watanabe, Rentarô Mikuni",1 Oscar Adaylığı. 5 ödül & 2 adaylık. total,"Adını ""hayalet hikayesi"" anlamına gelen arkaik bir Japonca sözcükten alan bu film, dört halk masalını uyarlıyor. Beş parasız bir samuray para için bir kadınla evlenir ve evlilik trajik bir sonuçlanır. Kar fırtınasında mahsur kalan bir adam, bir hayalet tarafından kurtarılır, ancak kurtarmasının bir bedeli vardır. Kör müzisyen, bir hayalet seyircisi için performans sergilemek zorunda kalır. Bir yazar, çay fincanında başka bir savaşçının yansımasını gören bir samurayın hikayesini kaleme alır. Kült Filmlerden 1080p görüntü kalitesiyle Kwaidan izle yebilirsiniz."
367,Harold and Maude - Harold ve Maude,7.9,1971,United States,91 dakika,"Dram, Komedi, Romantik",Hal Ashby,olin Higgins,"Bud Cort, Ruth Gordon, Vivian Pickles",2 ödül & 3 Adaylık. total,"Harold, boş zamanlarında cenazelere katılarak ve annesinin önünde intihar ediyormuş gibi yaparak geçiren depresif, ölüm takıntılı 20 yaşında bir erkek çocuktur. Bir cenazede Harold, yaşama sevinci olan 79 yaşındaki Maude ile arkadaş olur. O ve Harold birlikte çok zaman geçirirler ve bu süre boyunca Harold onu hayatın güzel olduğuna ikna etmeye başlar. Annesinin kendisine potansiyel bir eş ayarlamaya yönelik üç girişimini reddedip hepsinin önünde sahte intiharlar eden Harold, Maude ile evleneceğini açıklar. Ancak Maude'un Harold'a hayatını sonsuza dek değiştirecek bir sürprizi vardır. Kült filmlerden 1080p görüntü kalitesiyle Harold and Maude altyazılı izle yebilirsiniz."
368,My Left Foot - Sol Ayağım(My Left Foot: The Story of Christy Brown) ,7.9,1989,"Ireland, United Kingdom",103 dakika,"Biyografi, Dram",Jim Sheridan,"hane Connaughton, Jim Sheridan, Christy Brown","Alison Whelan, Brenda Fricker, Daniel Day-Lewis",2 Oscar Kazandı. 23 ödül & 20 adaylık. total,"Sol Ayağım, İrlandalı yazar Christy Brown'ın otobiyografisidir. Ağır beyin felci ile dünyaya gelen Brown, sol ayağı hariç uzuvlarının kontrolü ve becerisinden yoksun olmasına rağmen başarılı bir yazar, ressam ve şair oldu. 1989'da kitap, Daniel Day-Lewis'in oynadığı Akademi Ödüllü bir filme uyarlandı. Kült Filmlerden 1080p görüntü kalitesiyle My Left Foot izle yebilirsiniz."
369,Cleo From 5 To 7 - 5’ten 7’ye Cléo(Cléo de 5 à 7) ,7.9,1962,"Fransa, Italy",90 dakika,"Dram, Komedi, Müzik",Agnès Varda,gnès Varda,"Antoine Bourseiller, Corinne Marchand, Dominique Davray, Dorothée Blanck",1 ödül & 1 nomination,Filmde doktorundan bir test sonucu almaktan korkan Fransız şarkıcı Cléo'nun hikayesini izliyoruz. Cléo kansere yakalandığına ve bu hastalıktan öleceğine inanıyor. Paris sokaklarını Cléo'nun gözünden izleyip yaşadıklarına iki saat boyunca tanıklık ediyoruz. Sonunda ertesi gün Cezayir'e savaşa giden bir askerle tanışıyor. Kült filmlerden 720p görüntü kalitesiyle Cleo From 5 To 7 altyazılı izle yebilirsiniz.
370,L’avventura - Serüven,7.9,1960,"Fransa, Italy",144 dakika,"Dram, Gizem, Romantik",Michelangelo Antonioni,"ichelangelo Antonioni, Michelangelo Antonioni, Elio Bartolini, Tonino Guerra ","Dominique Blanchar, Gabriele Ferzetti, Lea Massari, Monica Vitti",2 BAFTA Film Awards. Diğer 6 ödül & 8 adaylık.,"Bir grup zengin İtalyan, Akdeniz'deki ıssız bir volkanik adaya yat gezisine çıkar. Adayı terk etmek üzereyken, bu noktaya kadar ana karakter olan Anna'nın kaybolduğunu görürler. Anna'nın erkek arkadaşı Sandro ve Anna'nın arkadaşı Claudia onu bulmaya çalışır. Anna'yı ararken Claudia ve Sandro birbirlerine ilgi duymaya başlarlar. Karaya döndüklerinde, hiç bir şey olmamış gibi devam ederler. Peki Sandro ve Claudia kayıp Anna'yı unutabilecek mi? Kült filmlerden 720p görüntü kalitesiyle L'avventura altyazılı izle yebilirsiniz."
371,Fantastic Mr. Fox - Yaman Tilki(Fantastic Mr. Fox) ,7.9,2009,"Amerika, İngiltere",87 dakika,"Animasyon, Komedi, Macera",Wes Anderson,"oald Dahl, Wes Anderson, Noah Baumbach ","Bill Murray, George Clooney, Jason Schwartzman, Meryl Streep",2 Oscar Adaylığı. Diğer 32 ödül & 61 adaylık.,"12 yıllık barışın arından tilki Bay Fox karısına verdiği sözü bozar ve insan komşuları Boggis, Bunce ve Bean'in çiftliklerine baskın düzenler. Hayvani içgüdülerine boyun eğmek sadece evliliğini değil ailesinin ve hayvan dostlarının hayatını da tehlikeye atmaktadır. 
"
372,Before the Rain - Yağmurdan Önce(Pred dozhdot) ,7.9,1994,"Fransa, North Macedonia, United Kingdom",113 dakika,"Dram, Romantik, Savaş",Milcho Manchevski,ilcho Manchevski,"Grégoire Colin, Katrin Cartlidge, Rade Serbedzija",1 Oscar Adaylığı. 29 ödül & 5 adaylık. total,"Kendi etrafında dönen bir hikayede görülen şiddetin döngüselliği. Makedonya'da, Bosna'daki savaş sırasında Hristiyanlar, içlerinden birini öldürmüş olabilecek etnik Arnavut bir kızı avlarlar. Sessizlik yemini etmiş genç bir keşiş onu korumayı teklif eder."
373,Brazil - Brezilya,7.9,1985,"Amerika, İngiltere",132 dakika,"Bilim Kurgu, Dram",Terry Gilliam,"erry Gilliam, Tom Stoppard, Charles McKeown ","Ian Holm, Jonathan Pryce, Katherine Helmond, Robert De Niro",2 Oscar Adaylığı. Diğer 8 ödül & 3 adaylık.,"Geleceğin tuhaf ve gereksiz derecede karmaşık, fütüristik dünyasındayız. Devlet memuru Sam Lowrey, etrafını saran bu bürokrasi ve teknoloji cenderesinden bunalmış bir istatistikçidir. Kaçışı ve sükuneti, kendisini her şeyden izole ettiği hayallerde bulur. Rüyalarında sürekli olarak aynı kadını kurtardığını görür.Sam'in yaşadığı gerçek dünyayı ise, herşeyi görüp kontrol eden bir bilgisayar idare etmektedir. Jill Layton isimli genç kadın terorist olmakla suçlandığında, düzenli olarak hata kontrolleri yapmakta olan Sam bunda bir yanlışlık olduğunu farkeder ve Jill ile tanıştığında onun rüyalarında kurtarıp durduğu kız olduğunu anlar. Brazil - Brezilya filmini kült filmlerden türkçe altyazılı olarak 720p görüntü kalitesiyle izleyebilirsiniz. İyi seyirler..."
374,Gegen die Wand - Duvara Karşı(Head-On) ,7.9,2004,"Almanya, Türkiye",121 dakika,"Dram, Romantik",Fatih Akin,atih Akin ,"Birol Ünel, Güven Kiraç, Stefan Gebelhoff, Zarah Jane McKenzie",25 ödül & 13 Adaylık.,"Hamburgda yaşayan Türk kökenli bir Alman olan Cahit, küçük bir dairede dağınık bir yaşam sürüyor. Gece kulübü Die Fabrik'da boş şişeleri toplayarak geçimi sağlıyor. Bir gece yaşamaktan vazgeçer ve arabasıyla hızlı bir şekilde ilerlerken duvara çarpıp intihar etmeye çalışır. Ancak kazadan kurtulur ve kendi gibi intihara teşebbüs etmiş genç bir Alman Türkü olan Sibel ile tanışır. Sibel, muhafazakar bir Türk ailesinin küçük kızıdır ve ailesinden ayrı yaşamak için Cahit'e sahte evlilik teklif eder. Karşılığında evin kirasını paylaşacak, yemek pişirip, temizlik yapacak ve bağımsız yaşayabileceklerdi. Cahit kabul eder ancak Sibel ile yaşarken ona gerçekten aşık olur."
375,Three Colors: Blue - Üç Renk: Mavi(Trois couleurs: Bleu) ,7.9,1993,"Fransa, Poland, Switzerland",94 dakika,"Dram, Gizem, Müzik, Romantik",Krzysztof Kieslowski,"rzysztof Kieslowski, Krzysztof Piesiewicz, Agnieszka Holland, Edward Zebrowski, Slawomir Idziak ","Benoît Régent, Charlotte Véry, Florence Pernel, Juliette Binoche",3 Golden Globe Adaylığı. Diğer 21 ödül & 15 adaylık.,"Julie, besteci kocası ve genç kızının hayatına mal olan trajik bir araba kazasının ardından bu durum kederine musallat olur. Normal hayatından, arkadaşlık ilişkilerinden uzaklaşarak, kendini dairesine kapatır ve acısını bastırmaya çalışır. Ancak Paris'in hareketli sokaklarında insan etkileşimlerinden kaçınmak imkansızdır ve sonunda kendisi için gizli bir aşkı barındıran ve onu normal hayata geri çekebilecek eski bir arkadaşı Olivier ile karşılaşır. Three Colors: Blue – Üç Renk: Mavi filmini kült filmlerden 1080p türkçe altyazılı izle yebilirsiniz. "
376,The Extra-Terrestrial - ET,7.9,1982,United States,115 dakika,"Aile, Bilim Kurgu, Macera",Steven Spielberg,elissa Mathison,"Drew Barrymore, Henry Thomas, Peter Coyote",4 Oscar Kazandı. 52 ödül & 36 adaylık. total,"Bir grup uzaylı dünyayı ziyaret eder ve içlerinden biri kaybolur. Onun adı ET ve diğerleri onu burada bıraktığı için dünyada mahsur kalır. ET, 10 yaşındaki bir çocuk olan Elliot tarafından bulunur. Yakında ikisi iletişim kurmaya başlar ve ET'nin dünyadaki yaşam hakkında bilgi öğrendiği ve Elliot'un arkadaşlığın gerçek anlamı için bazı yeni değerler öğrendiği farklı bir arkadaşlık bağı kurarlar. ET eve gitmek istiyor ama Elliot ona yardım ederse bir arkadaşını kaybetmiş olacak. Kült filmlerden 1080p görüntü kalitesiyle E.T. the Extra-Terrestrial izle yebilirsiniz."
377,The Face of Another - Başkasının Suratı(Tanin no kao) ,7.9,1966,Japan,124 dakika,"Bilim Kurgu, Dram, Korku",Hiroshi Teshigahara,ôbô Abe,"Kyôko Kishida, Mikijirô Hira, Tatsuya Nakadai",4 ödül & 2 Adaylık.,"Bay Okuyama, bir endüstriyel kazada sıvı nitrojen tarafından yüzü ve kulakları yanmış bir adamdır. Bu konuda oldukça acı ve öfke dolu, karısına (Kyo) kendisi gibi olması için yüzünü asitle yok etmeyi ciddi olarak düşündüğünü söyleyecek kadar ileri gidiyor. Bay Okuyama ve görünüş gerçekten önemli değilmiş gibi davranan bir dünyanın ikiyüzlülüğü hakkında köpürüyor. Sonunda doktoru ona gerçeğe yakın bir maske yapar ancak maske kişiliğini değiştirmeye başlar. Kült Filmlerden 1080p görüntü kalitesiyle The Face of Another izle yebilirsiniz."
378,Marketa Lazarová,7.9,1967,Czechoslovakia,162 dakika,"Dram, Romantik, Tarih",Frantisek Vlácil,"rantisek Pavlícek, Vladislav Vancura, Frantisek Vlácil","Josef Kemr, Magda Vásáryová, Nada Hejna",2 ödül & 3 Adaylık.,"Vladislav Vančura'nın bir romanına dayanan, iki rakip ortaçağ klanı arasındaki bir kan davasının bu heyecan verici ve şiirsel tasviri, Hıristiyanlık ile paganizm, insanlık ve doğa, aşk ve şiddet arasındaki çatışmaların şiddetli, epik ve titizlikle tasarlanmış bir hatırlatıcısıdır. Vláčil'in yaklaşımı, geleneksel bir tarihi drama yapmaktan ziyade, uzun zaman önce bir yaşam biçiminin dokularını ve zihniyetlerini yeniden yaratmaktı ve sonuç göz kamaştırıcı... "
379,Jojo Rabbit - Tavşan Jojo,7.9,2019,"Amerika, Czech Republic, New Zealand",108 dakika,"Dram, Komedi",Taika Waititi,"hristine Leunens, Taika Waititi ","Roman Griffin Davis, Scarlett Johansson, Taika Waititi, Thomasin McKenzie",1 Oscar Kazandı. Diğer 35 ödül & 151 adaylık.,"On yaşındaki Alman bir çocuk olan Johannes ""Jojo"" Betzler, Nazi Partisi'nin gençlik örgütünün saflarına katılmak için sabırsızlanıyor. Megalomanyak idolü Adolf Hitler için hayatından vazgeçmeye hazır. Führer'in bu küçük hayranı, akranlarının gençlik örgütüne katıldıktan sonra burada verilen ilk görevinde başarısız olması üzerine örgütten dışlanmaya başlar ve ona diğer çocuklar tarafından Jojo takma adı verilir. Bir gün annesinin genç bir Yahudi kızı tavan arasında sakladığını öğrendiğinde Jojo'nun dünya görüşü altüst olacaktır. Kült filmlerden 1080p görüntü kalitesiyle Jojo Rabbit altyazılı izle yebilirsiniz."
380,A Taxi Driver(Taeksi woonjunsa) ,7.9,2017,South Korea,137 dakika,"Aksiyon, Dram, Tarih",Hun Jang,u-na Eom,"Hae-Jin Yoo, Kang-ho Song, Thomas Kretschmann",25 ödül & 32 Adaylık.,"Man-seob, Seul'de yaşayan ve küçük kızını tek başına yetiştiren bir taksi şoförüdür. Bir gün, Gwangju şehrine gitmek için büyük paralar ödeyecek bir yabancı olduğunu duyar ve Alman muhabirin Gwangju Ayaklanması'nı haber yapmasına yardımcı olur. Ancak ikili bir süre sonra kendilerini, Gwanju Ayaklanması'nın ortasında bir ölüm kalım mücadelesinin içinde bulur. Kült Filmlerden 1080p görüntü kalitesiyle A Taxi Driver izle yebilirsiniz."
381,And Life Goes On - Ve Yaşam Sürüyor(Zendegi va digar hich) ,7.9,1992,İran,95 dakika,"Dram, Macera",Abbas Kiarostami,bbas Kiarostami,"Buba Bayour, Farhad Kheradmand, Hossein Rezai",1 ödül & 2 Adaylık.,"Guilan depreminden sonra, film yönetmeni ve oğlu Puya, yönetmenin birkaç yıl önce orada yaptığı filmin oyuncularını aramak için harap bölgeye seyahat eder, Aramalarında, depremde her şeyini kaybeden insanların nasıl hala umutlarının olduğunu ve hayatı dolu dolu yaşamaya çalıştıklarına tanık olurlar. Kült Filmlerden 1080p görüntü kalitesiyle And Life Goes On izle yebilirsiniz."
382,The Ballad of Narayama - Narayama Türküsü(Narayama bushikô) ,7.9,1983,Japan,130 dakika,Dram,Shôhei Imamura,"hôhei Imamura, Shichirô Fukazawa ","Aki Takejô, Ken Ogata, Sumiko Sakamoto, Tonpei Hidari",9 ödül & 9 Adaylık.,"19. yüzyıldan kalma yoksul bir Japon köyünde, 70 yaşına ulaşan herkes ölmek için yakındaki bir dağa tırmanmak zorundadır. Yaşlı bir kadın 70'ine yaklaşıyor sıra ona geldi. Ama önce en büyük oğlu Tatsuhei'nin bir eş bulmasını sağlamalıdır. Son günlerini ailesinin gözünden takip ediyoruz. Kült filmlerden 720p görüntü kalitesiyle The Ballad of Narayama altyazılı izle yebilirsiniz."
383,Turkish Passport - Türk Pasaportu,7.9,2011,Türkiye,91 dakika,"Belgesel, Dram, Tarih, Yerli","Burak Arliel, Meta Akkus","eniz Yesilgun, Gokhan Zincir","Albert Barbouth, Batur Belirdi, McKinley Anthony",Bulunan ödül yok.,"Türk Pasaportu, birçok Avrupa ülkesindeki Türk Büyükelçilik ve Konsolosluklarına gönderilen ve İkinci Dünya Savaşı sırasında çok sayıda Yahudiyi kurtaran diplomatların hikayesini anlatıyor. Emniyeti bulmak için İstanbul'a gelen tanıkların ifadelerine dayanan Türk Pasaportu, bu kurtarma hikayesini anlatmak ve dönemin olaylarını gün ışığına çıkarmak için yazılı tarihi belgeler ve arşiv görüntüleri de kullanıyor. Diplomatlar sadece Türk Yahudilerinin hayatını kurtarmakla kalmadılar. Ölüme mahkûm edilen yabancı Yahudileri de Türk Pasaportu vererek kurtardılar. Tarihin bu karanlık döneminde yaptıkları umut ışığını yaktı ve bu insanların ışık buldukları Türkiye'ye gitmelerini sağladı. Kült Filmlerden 1080p görüntü kalitesiyle Turkish Passport izle yebilirsiniz."
384,Let the Right One In - Gir Kanıma(Låt den rätte komma in) ,7.9,2008,Sweden,114 dakika,"Dram, Fantastik, Korku",Tomas Alfredson,ohn Ajvide Lindqvist,"Kåre Hedebrant, Lina Leandersson, Per Ragnar",1 BAFTA Award75 wins & 58 nominations total.Nominated for 1 BAFTA Award75 ödül & 58 Adaylık. total,"Zorbalığa uğrayan 12 yaşındaki Oskar, yeni komşusu gizemli ve huysuz Eli ile bir arkadaşlık kurar. Başlangıçta aralarında tatlı bir romantizm oluşur. Ancak Eli'nin bir dizi kanlı yerel cinayetle bağlantısını ortaya çıkaran karanlık, ürkütücü bir sır her şeyi tehdit eder. Kült Filmlerden 1080p görüntü kalitesiyle Let the Right One In izle yebilirsin"
385,Seduced and Abandoned - Baştan Çıkarılmış ve Terk Edilmiş(Sedotta e abbandonata) ,7.9,1964,"Fransa, Italy",115 dakika,"Dram, Komedi",Pietro Germi,"ietro Germi, Luciano Vincenzoni, Agenore Incrocci","Aldo Puglisi, Saro Urzì, Stefania Sandrelli",9 ödül & 6 Adaylık.,"15 yaşındaki kızı, büyük kızının nişanlısı tarafından baştan çıkarılıp hamile bırakılan çaresiz bir Sicilyalı adam, ailenin onurunu kurtarmanın bir yolunu bulmaya çalışır."
386,The Man from Earth - Dünyalı,7.9,2007,Amerika,87 dakika,"Bilim Kurgu, Dram, Fantastik",Richard Schenkman,erome Bixby,"David Lee Smith, Ellen Crawford, John Billingsley, Tony Todd",5 ödül & 2 Adaylık.,"John Oldman adlı bir üniversite profesörü hiçbir sebep yokken akademik hayatını sonlandırma kararı alır. Ayrıca bununla yetinmeyip yaşadığı şehirden de taşınacaktır. Bu durum karşısında akademiden arkadaşları hem onunla konuşmak için hem de veda amaçlı evine giderler. Arkadaşlarının soruları karşısında gizemini açığa çıkaran Oldman, kendisinin bir ölümsüz olduğunu hatta 14.000 yıldır yaşadığını söyler. Oldman geçmişini anlattıkça karşısında bulunan profesörler bu durumu iyice irdelerler ve sorular sormaya başlarlar. Oldman anlattıkça arkadaşları da gelgitler yaşamaya başlayacaklardır. Onun ya delirdiğini ya da gerçeği söylediği ihtimalinin üzerine gidecekler. Tek mekanda geçen bu film bilim kurgu sevenlerin aklında unutulmaz bir yer edinecek. The Man from Earth – Dünyalı filmini kült filmlerden 1080p, 720p türkçe altyazılı izle yebilirsiniz."
387,King Kong 1933,7.9,1933,Amerika,100 dakika,"Bilim Kurgu, Korku, Macera","Ernest B. Schoedsack, Merian C. Cooper","ames Ashmore Creelman, Ruth Rose, Merian C. Cooper, Edgar Wallace ","Bruce Cabot, Fay Wray, Frank Reicher, Robert Armstrong",3 ödül & 7 Adaylık.,"1933'te cesur ve başarılı film yapımcısı Carl Denham, üyük bir ekip, arkadaşı Jack Driscoll ve film yıldızı Ann Darrow ile film çekimleri için bilinmeyen bir adaya seyahat eder. Bu adada yaşayan yerliler Kong adında devasa bir gorile taparlar ve Ann'i Kong'a kurban olarak sunmak için kaçırırlar. Ann'a aşık olan Jack Driscoll, New York'taki bir sergi için gorili yakalamayı hedefleyen Carl Denham ve mürettebatın bir kısmı dinozorların yaşadığı ormanda Ann'i kurtarmak için bir maceraya atılırlar. Kült filmlerden 1080p görüntü kalitesiyle King Kong 1933 altyazılı izle yebilirsiniz."
388,Kagemusha(Gölge Savaşçı) ,7.9,1980,"Japan, United States",162 dakika,"Dram, Savaş, Tarih",Akira Kurosawa,"asato Ide, Akira Kurosawa","Ken'ichi Hagiwara, Tatsuya Nakadai, Tsutomu Yamazaki",2 Oscar Adaylığı. 20 ödül & 5 adaylık. total,"Film, rakip klanların saldırılarından kaçınmak için yaşlanan bir savaş ağası olan Shingen'i taklit etmesi için işe alınan küçük bir hırsızın hikayesini ele alıyor. Shingen öldüğünde, generalleri isteksizce güçlü hükümdar olarak sahtekarın onun yerine geçmesini kabul eder. Kült Filmlerden 1080p görüntü kalitesiyle Kagemusha izle yebilirsiniz."
